id;quotes;author
1;Try not to become a person of success, but rather try to become a person of value.;Albert Einstein
2;Your ability to discipline yourself to set clear goals and then to work toward them every day will do more to guarantee your success than any other single factor.;Brian Tracy
3;There are no secrets to success. It is the result of preparation, hard work, and learning from failure.;Colin Powell
4;Success is not final. Failure is not fatal. It is the courage to continue that counts.;Winston Churchill
5;Some people dream of success while other people get up every morning and make it happen.;Wayne Huizenga
6;As long as you are learning you are not failing.;Bob Ross
7;Life will only change when you become more committed to your dreams than you are to your comfort zone.;Billy Cox
8;Opportunities don’t happen. You create them.;Chris Grosser
9;The only limit to our realization of tomorrow will be our doubts of today.;Franklin D. Roosevelt
10;“If you want something you never had, you have to do something you’ve never done.;Thomas Jefferson
11;The secret of getting ahead is getting started.;Mark Twain
12;Challenges are what make life interesting and overcoming them is what makes life meaningful.;Joshua J. Marine
13;Your positive action combined with positive thinking results in success.;Shiv Khera
14;If you can dream it, you can do it.;Walt Disney
15;Why should you continue going after your dreams? Because seeing the look on the faces of the people who said you couldn’t… will be priceless.;Kevin Ngo
16;Amateurs sit and wait for inspiration, the rest of us just get up and go to work.;Stephen King
17;A ship is always safe ashore but that is not what it’s built for.;Albert Einstein
18;There are two types of people who will tell you that you cannot make a difference in this world: those who are afraid to try and those who are afraid you will succeed.;Ray Goforth
19;Failure is success in progress.;Albert Einstein
20;All progress takes place outside the comfort zone.;Michael John Bobak
21;The pessimist sees difficulty in every opportunity. The optimist sees opportunity in every difficulty.;Winston Churchill
22;Success is walking from failure to failure with no loss of enthusiasm.;Winston Churchill
23;If you are not willing to risk the usual, you will have to settle for the ordinary.;Jim Rohn
24;Action is the foundational key to all success.;Pablo Picasso
25;The only place where success comes before work is in the dictionary.;Vidal Sassoon
26;Success does not consist in never making mistakes but in never making the same one a second time.;George Bernard Shaw
27;Ambition is the path to success. Persistence is the vehicle you arrive in.;Bill Bradley
28;Success is a lousy teacher. It seduces smart people into thinking they can’t lose.;Bill Gates
29;Success is the sum of small efforts, repeated day-in and day-out.;Robert Collier
30;The way to get started is to quit talking and begin doing.;Walt Disney
31;In order to succeed, we must first believe that we can.;Nikos Kazantzakis
32;Life is not fair — get used to it!;Bill Gates
33;The biggest risk is not taking any risk.;Mark Zuckerberg
34;To win big, you sometimes have to take big risks.;Bill Gates
35;In a world that's changing really quickly, the only strategy that is guaranteed to fail is not taking risks.;Mark Zuckerberg
36;The more you seek the uncomfortable the more you will become comfortable.;Conor Mcgregor
37;All our dreams can come true if we have the courage to pursue them.;Walt Disney
38;It always seems impossible until it's done.;Nelson Mandela
39;Success only comes to those who dare to attempt.;Mallika Tripathi
40;You can't cross the sea merely by standing and staring at the water.;Rabindranath Tagore
41;He who is not courageous enough to take risks will accomplish nothing in life.;Muhammad Ali
42;Dedication sees dreams come true.;Kobe Bryant
43;If you've got the confidence and the work ethic, you can make any dream come true.;Bret Hart
44;The moment you give up is the moment you let someone else win;Kobe Bryant
45;If you can’t outplay them, outwork them.;Ben Hogan
46;Choices and decisions must be supported by your passion, resolve, and a productive work ethic. If these meet opportunity, your success has finally come!;Archibald Marwizi
47;You might well remember that nothing can bring you success but yourself.;Napoleon Hill
48;If there is no struggle, there is no progress;Frederick Douglass
49;Progress takes time and discipline.;Ronnie Coleman
50;To become a champion requires a good mental attitude toward preparation. You must accept the most tedious tasks with pleasure.;Bruce Lee
51;Sometimes the outcome isn't always what you desire it to be, but the true failure in life is not trying at all.;CM Punk
52;Don’t fear failure. In great attempts, it is glorious even to fail.;Bruce Lee
53;Long-term consistency trumps short-term intensity.;Bruce Lee
54;Ships don’t sink because of the water around them, ships sink because of the water that gets in them. Don’t let what’s happening around you get inside you and weigh you down.;Unknown
